Alias	AvgSpotLen	BioSample	Experiment	INSDC_first_public	INSDC_last_update	LoadDate	MBases	MBytes	ReleaseDate	Run	SRA_Sample	SRA_accession	Sample_Name	collection_date	environment_biome	environment_feature	environment_material	geographic_location_country_and_or_sea	geographic_location_latitude	geographic_location_longitude	project_name	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	ENA_checklist	INSDC_center_name	INSDC_status	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	Organism	Platform	SRA_Study	Title	geographic_location_depth	geographic_location_elevation	investigation_type	sequencing_method	soil_environmental_package
G3504_F	592	SAMEA4698685	ERX2619099	2018-05-31T17:02:57Z	2018-05-30T09:45:00Z	2018-07-20	238	148	2018-07-03	ERR2602443	ERS2518857	ERS2518857	SAMEA4698685 ERS2518857	2011	Temperate_deciduous_forests	soil [ENVO:00001998]	soil [ENVO:00001998]	Italy	36.77778	12.00829	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
S001_F	592	SAMEA4698686	ERX2619100	2018-05-31T17:02:57Z	2018-05-30T09:45:00Z	2018-07-20	61	37	2018-07-03	ERR2602444	ERS2518858	ERS2518858	SAMEA4698686 ERS2518858	2011	Dry_tropical_forests	soil [ENVO:00001998]	soil [ENVO:00001998]	Madagascar	-25.0621	46.8687	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
S004_F	592	SAMEA4698687	ERX2619101	2018-05-31T17:02:57Z	2018-05-30T09:45:00Z	2018-07-20	97	59	2018-07-03	ERR2602445	ERS2518859	ERS2518859	SAMEA4698687 ERS2518859	2011	Dry_tropical_forests	soil [ENVO:00001998]	soil [ENVO:00001998]	Madagascar	-24.952	47.002	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
S023_F	591	SAMEA4698688	ERX2619102	2018-05-31T17:02:57Z	2018-05-30T09:45:00Z	2018-07-20	116	74	2018-07-03	ERR2602446	ERS2518860	ERS2518860	SAMEA4698688 ERS2518860	2011	Temperate_deciduous_forests	soil [ENVO:00001998]	soil [ENVO:00001998]	Russia	43.2099	132.05064	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
S031_F	591	SAMEA4698689	ERX2619103	2018-05-31T17:02:57Z	2018-05-30T09:45:00Z	2018-07-20	114	71	2018-07-03	ERR2602447	ERS2518861	ERS2518861	SAMEA4698689 ERS2518861	2011	Boreal_forests	soil [ENVO:00001998]	soil [ENVO:00001998]	Russia	43.37664	132.9459	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
S036_F	591	SAMEA4698690	ERX2619104	2018-05-31T17:02:57Z	2018-05-30T09:45:00Z	2018-07-20	96	58	2018-07-03	ERR2602448	ERS2518862	ERS2518862	SAMEA4698690 ERS2518862	2011	Dry_tropical_forests	soil [ENVO:00001998]	soil [ENVO:00001998]	Mexico	21.21018	-87.19355	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
S043_F	592	SAMEA4698691	ERX2619105	2018-05-31T17:02:57Z	2018-05-30T09:45:00Z	2018-07-20	141	87	2018-07-03	ERR2602449	ERS2518863	ERS2518863	SAMEA4698691 ERS2518863	2011	Mediterrean	soil [ENVO:00001998]	soil [ENVO:00001998]	Iran	38.34	47.31	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
S045_F	592	SAMEA4698692	ERX2619106	2018-05-31T17:02:57Z	2018-05-30T09:45:00Z	2018-07-20	87	53	2018-07-03	ERR2602450	ERS2518864	ERS2518864	SAMEA4698692 ERS2518864	2011	Moist_tropical_forests	soil [ENVO:00001998]	soil [ENVO:00001998]	USA	18.3167	-65.8167	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
S053_F	592	SAMEA4698693	ERX2619107	2018-05-31T17:02:57Z	2018-05-30T09:45:00Z	2018-07-20	203	126	2018-07-03	ERR2602451	ERS2518865	ERS2518865	SAMEA4698693 ERS2518865	2011	Mediterrean	soil [ENVO:00001998]	soil [ENVO:00001998]	Iran	30.732353	51.573399	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
S061_F	592	SAMEA4698694	ERX2619108	2018-05-31T17:02:57Z	2018-05-30T09:45:00Z	2018-07-20	101	63	2018-07-03	ERR2602452	ERS2518866	ERS2518866	SAMEA4698694 ERS2518866	2011	Moist_tropical_forests	soil [ENVO:00001998]	soil [ENVO:00001998]	Brazil	5.305722	-59.924806	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
S069_F	591	SAMEA4698695	ERX2619109	2018-05-31T17:02:57Z	2018-05-30T09:45:00Z	2018-07-20	24	15	2018-07-03	ERR2602453	ERS2518867	ERS2518867	SAMEA4698695 ERS2518867	2011	Moist_tropical_forests	soil [ENVO:00001998]	soil [ENVO:00001998]	Cameroon	3.35357	12.7251	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
S070a_F	591	SAMEA4698696	ERX2619110	2018-05-31T17:02:57Z	2018-05-30T09:45:01Z	2018-07-11	21	13	2018-07-03	ERR2602454	ERS2518868	ERS2518868	SAMEA4698696 ERS2518868	2011	Moist_tropical_forests	soil [ENVO:00001998]	soil [ENVO:00001998]	Cameroon	3.3673	12.736	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
S075_F	591	SAMEA4698697	ERX2619111	2018-05-31T17:02:57Z	2018-05-30T09:45:01Z	2018-07-11	103	65	2018-07-03	ERR2602455	ERS2518869	ERS2518869	SAMEA4698697 ERS2518869	2011	Southern_temperate_forests	soil [ENVO:00001998]	soil [ENVO:00001998]	Argentina	-41.0832	-71.5514	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
S079_F	591	SAMEA4698698	ERX2619112	2018-05-31T17:02:57Z	2018-05-30T09:45:01Z	2018-07-11	114	72	2018-07-03	ERR2602456	ERS2518870	ERS2518870	SAMEA4698698 ERS2518870	2011	Southern_temperate_forests	soil [ENVO:00001998]	soil [ENVO:00001998]	Argentina	-40.13	-71.6608	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
S085_F	591	SAMEA4698699	ERX2619113	2018-05-31T17:02:57Z	2018-05-30T09:45:01Z	2018-07-11	102	64	2018-07-03	ERR2602457	ERS2518871	ERS2518871	SAMEA4698699 ERS2518871	2011	Southern_temperate_forests	soil [ENVO:00001998]	soil [ENVO:00001998]	Argentina	-41.1976	-71.8228	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
S099_F	591	SAMEA4698700	ERX2619114	2018-05-31T17:02:57Z	2018-05-30T09:45:01Z	2018-07-11	50	30	2018-07-03	ERR2602458	ERS2518872	ERS2518872	SAMEA4698700 ERS2518872	2011	Moist_tropical_forests	soil [ENVO:00001998]	soil [ENVO:00001998]	Sri Lanka	6.41782	80.4237	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
S114_F	591	SAMEA4698701	ERX2619115	2018-05-31T17:02:57Z	2018-05-30T09:45:01Z	2018-07-20	70	44	2018-07-03	ERR2602459	ERS2518873	ERS2518873	SAMEA4698701 ERS2518873	2011	Boreal_forests	soil [ENVO:00001998]	soil [ENVO:00001998]	Czech Republic	49.01738	13.47508	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
S122_F	591	SAMEA4698702	ERX2619116	2018-05-31T17:02:57Z	2018-05-30T09:45:01Z	2018-07-20	155	97	2018-07-03	ERR2602460	ERS2518874	ERS2518874	SAMEA4698702 ERS2518874	2011	Temperate_deciduous_forests	soil [ENVO:00001998]	soil [ENVO:00001998]	Italy	37.90722	14.65722	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
S141_F	591	SAMEA4698703	ERX2619117	2018-05-31T17:02:57Z	2018-05-30T09:45:01Z	2018-07-20	109	72	2018-07-03	ERR2602461	ERS2518875	ERS2518875	SAMEA4698703 ERS2518875	2011	Temperate_deciduous_forests	soil [ENVO:00001998]	soil [ENVO:00001998]	Iran	36.212199	52.824324	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
S171_F	591	SAMEA4698704	ERX2619118	2018-05-31T17:02:57Z	2018-05-30T09:45:01Z	2018-07-20	37	24	2018-07-03	ERR2602462	ERS2518876	ERS2518876	SAMEA4698704 ERS2518876	2011	Southern_temperate_forests	soil [ENVO:00001998]	soil [ENVO:00001998]	New Zealand	-42.30237935	172.1041386	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
S195_F	591	SAMEA4698705	ERX2619119	2018-05-31T17:02:57Z	2018-05-30T09:45:01Z	2018-07-11	98	60	2018-07-03	ERR2602463	ERS2518877	ERS2518877	SAMEA4698705 ERS2518877	2011	Savannas	soil [ENVO:00001998]	soil [ENVO:00001998]	Zimbabwe	-19.9333	29.6167	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
S215_F	591	SAMEA4698706	ERX2619120	2018-05-31T17:02:57Z	2018-05-30T09:45:01Z	2018-07-20	71	45	2018-07-03	ERR2602464	ERS2518878	ERS2518878	SAMEA4698706 ERS2518878	2011	Dry_tropical_forests	soil [ENVO:00001998]	soil [ENVO:00001998]	India	30.57366	77.29648	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
S217_F	591	SAMEA4698707	ERX2619121	2018-05-31T17:02:57Z	2018-05-30T09:45:01Z	2018-07-20	94	58	2018-07-03	ERR2602465	ERS2518879	ERS2518879	SAMEA4698707 ERS2518879	2011	Savannas	soil [ENVO:00001998]	soil [ENVO:00001998]	Zimbabwe	-18.3284	30.0195	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
S235_F	591	SAMEA4698708	ERX2619122	2018-05-31T17:02:57Z	2018-05-30T09:45:01Z	2018-07-20	128	81	2018-07-03	ERR2602466	ERS2518880	ERS2518880	SAMEA4698708 ERS2518880	2011	Boreal_forests	soil [ENVO:00001998]	soil [ENVO:00001998]	Finland	66.670278	25.313889	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
S248_F	591	SAMEA4698709	ERX2619123	2018-05-31T17:02:57Z	2018-05-30T09:45:01Z	2018-07-20	117	74	2018-07-03	ERR2602467	ERS2518881	ERS2518881	SAMEA4698709 ERS2518881	2011	Temperate_coniferous_forests	soil [ENVO:00001998]	soil [ENVO:00001998]	USA	36.23099	-112.06814	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
S263_F	591	SAMEA4698710	ERX2619124	2018-05-31T17:02:57Z	2018-05-30T09:45:01Z	2018-07-20	86	54	2018-07-03	ERR2602468	ERS2518882	ERS2518882	SAMEA4698710 ERS2518882	2011	Southern_temperate_forests	soil [ENVO:00001998]	soil [ENVO:00001998]	Argentina	-54.84525	-68.584717	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2761a_F	491	SAMEA4698764	ERX2619659	2018-05-31T17:02:57Z	2018-05-30T10:18:47Z	2018-07-20	20	14	2018-07-03	ERR2603003	ERS2518936	ERS2518936	SAMEA4698764 ERS2518936	2011	Moist_tropical_forests	soil [ENVO:00001998]	soil [ENVO:00001998]	Malaysia	3.2166666667	101.83975	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2761a	491	SAMEA103892432	ERX1933754	2018-05-31T17:02:46Z	2017-03-06T16:33:16Z	2018-07-20	20	14	2018-07-04	ERR1873229	ERS1581600	ERS1581600	SAMEA103892432 ERS1581600	2014/2015	Moist_tropical_forests	-	soil	Malaysia	3.216666667	101.83975	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
AV103	490	SAMEA103892433	ERX1933710	2018-05-31T17:02:46Z	2017-03-06T16:33:16Z	2018-07-20	60	40	2018-07-04	ERR1873185	ERS1581601	ERS1581601	SAMEA103892433 ERS1581601	2014/2015	Moist_tropical_forests	-	soil	Colombia	-0.3919	-72.0461	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
AV104	489	SAMEA103892434	ERX1933711	2018-05-31T17:02:46Z	2017-03-06T16:33:16Z	2018-07-20	36	23	2018-07-04	ERR1873186	ERS1581602	ERS1581602	SAMEA103892434 ERS1581602	2014/2015	Moist_tropical_forests	-	soil	Colombia	-0.3466	-72.059	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
AV105	289	SAMEA103892435	ERX1933712	2018-05-31T17:02:46Z	2017-03-06T16:33:16Z	2018-07-20	30	18	2018-07-04	ERR1873187	ERS1581603	ERS1581603	SAMEA103892435 ERS1581603	2014/2015	Moist_tropical_forests	-	soil	Brazil	-3.598	-69.53	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
